post_date,post_id,post_source,post_text,comment_text
2016-10-08 21:52:07,1,https://vk.com/wall-130344439_1,Пост состоит из фото,['К посту комментариев нет']
2016-10-09 21:53:07,2,https://vk.com/wall-130344439_2,Пост состоит из фото,"['пикчер - бог', 'id6045249Philip,', 'В голос!', 'Что це?']"
2016-10-09 22:08:21,5,https://vk.com/wall-130344439_5,"Сегодня последний день регистрации на киллера. Внизу конечные правила, все внимательно прочитайте, так как не очень хочется отвечать всем на одни и те же вопросы. Также внизу ссылка на форму, которую вы будете заполнять при убийстве. Завтра будут запакованы конверты! В течение вторника и среды каждый игрок получит свою цель. Начиная с четверга можно будет убивать. Ссылка на регистрацию Ссылка на отчет об убийстве",['К посту комментариев нет']
2016-10-10 01:13:47,7,https://vk.com/wall-130344439_7,"Доброй ночи, эконом! Все мы знаем как сильна математическая статистика. И вот настал час продемонстрировать вам её силу! С высокой вероятностью кто-то спалился.","['Тут отправили фото', 'Тут отправили фото', 'мне кажется, он нажрался и рандомил, кого отчислить', 'а ничо, что там есть и женщина старше 45? а мужчин даже не 1, а скорее 4. Так что существует вероятность, что 1 из 4 Шилин, но также может быть, что у кого-то стоит год рождения в стиле 1900', 'Он просто с разных аккаунтов заходит D', 'id145608859Никита, умеешь ты все испортить', 'у меня 1900']"
2016-10-10 01:25:31,16,https://vk.com/wall-130344439_16,Заливайте НОРМ мемы про ЕКАНАМ или учебу в альбом ГАВНО МЕМЫ БУДУТ УДАЛЯТЬСЯ,['К посту комментариев нет']
2016-10-10 13:06:13,19,https://vk.com/wall-130344439_19,Пост состоит из фото,"['Тут отправили фото', 'еее, моя фотка']"
2016-10-10 19:14:50,21,https://vk.com/wall-130344439_21,Хочешь сыграть со мной в игру?,['К посту комментариев нет']
2016-10-11 15:51:14,23,https://vk.com/wall-130344439_23,Сколько там сталось???,"['356', 'id18236049Игорь, че так много']"
2016-10-12 23:21:23,26,https://vk.com/wall-130344439_26,"И так, все карты розданы и судьбы предрешены. Больше никому нельзя доверять, лучшие друзья могут оказаться врагами, а опасность будет поджидать вас за каждым углом. МЫ НАЧИНАЕМ ИГРУ! Теперь когда нервы на пределе, азарт бурлит в вашей крови, а хитроумные планы занимают все ваши мысли, интуиция станет величайшим оружием, а мнительность возможно спасет вам жизнь! Удачной охоты! И не забывайте, каждый охотник, в любой момент может стать жертвой","['', 'Как я понимаю в лидерах пока Артем Ревтов и Дмитрий Савченко ?', 'Наверн эта шутка ща в топе, я тож так говорю', 'id18236049Igor, а что делать если кому-то в конверте попался Артем?', 'а что с Артёмом?', 'id32346529Агафья, небольшие неприятности у него', 'Тут отправили фото']"
2016-10-14 19:41:36,64,https://vk.com/wall-130344439_64,"Ребята, которые играют в киллера! Вбивайте своих убитых вместе с паролями в форму! Без этого их смерть не будет вам засчитана! P.S. По моим данным уже скончалось около 5 человек.",['как-то мало убитых...']
2016-10-15 15:04:25,75,https://vk.com/wall-130344439_75,"В Киллер играли n человек. После окончания игры, когда были убиты все, кто может быть убит, встретились два игрока возможно убитых и оказалось, что один убил 5 человек, а другой 7 человек. Оцените n подходящим методом.",['киллер приходит к жертве и заставляет решать задачку']
2016-10-18 16:26:36,78,https://vk.com/wall-130344439_78,Пост состоит из фото,"['346...', 'ПОЧЕМУ ГОДА ТАКИЕ ДЛИННЫЕ?', 'id6045249Филипп, или почему посвятов так мало?!', 'id18236049Игорь, организуй плиз еще один', 'можно организовать посвящение в студенты после первой сессии гыгык', 'id18236049Igor, а ты че, посвят крафтил??', 'id8176408Сергей, в 2014 и 2015. В этом был почётным советником']"
2016-10-20 17:19:08,85,https://vk.com/wall-130344439_85,Покидайте фоток и видосов с посвята плиз...,"['Тут отправили фото', 'Тут отправили фото', 'А фоток поживее нет?', 'id18236049Игорь,', 'id6045249Филипп, я тут понял что эт самое экстремальное моё занятие за последнее время', 'id6045249Филипп, почему девочка на заднем фоне просит пожалуйста, я не готова? Что у вас там происходит??', 'id4434770Таисия, всё легально']"
2016-10-23 11:26:58,95,https://vk.com/wall-130344439_95,1,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20!', 'Всем спасибо! Все свободны!', 'id18236049Игорь, а контрольные 7?', '1', '2', '3', '4', '5', '6', '7', 'Ну и три в голову, конечно!', '1', '2', '3!', 'It was legen.... wait for it dary! Legendary!', 'как же мы ебошим']"
2016-10-23 20:48:45,113,https://vk.com/wall-130344439_113,"Кого бы вы выбрали на 4-м курсе, уважаемые иконамисты?","['Эскобар - это кто?', 'id219261651Антон, при чем тут он?', 'id28317794Мариана,', 'Шкребела очень крута, тож не в тему добавили', 'id150423338Руслан, крута как специалист, а не препод на 4 курсе']"
2016-10-24 17:04:11,143,https://vk.com/wall-130344439_143,Господа ПЕРВОКУРСНИКИ соизволили позвать нас на тусу в пятницу. Поддержим их! Время и место будет опубликовано здесь ставь класс там и все дела,"['ГООООООО!!!!!', 'и всех вас там поубивают...', 'id1598589Антон, зато эта смерть будет веселой']"
2016-10-25 00:29:45,149,https://vk.com/wall-130344439_149,"Лирика на Иканаме Его лик сияет при свете огней Он самый Великий из ученых людей Когда Он заходит, весь класс замирает, Встает и с удивлением на слайде читает Академик Раен, пожарный, ученый, Трижды профессор Отрадное района, Читал час назад лекции В ТурГПФи, Закончил авансом все кафедры в МИФи, Обладатель двух премий Столыпинских реформ, Подал в пятом классе собачкам на корм, Лично участвовал в посвяте КемГУ, Почетный заседатель на лавке в МГУ, Пожал Гайдара руку через 5 человек, Молдаванину объяснил, что такое субъект, Написал около десяти тыщ работ, Заставил работать коньячный завод, Магистр экономики в МАГРиТу Открыл на небе сверхновую звезду, Сочинил универсальный по безопасности гайд К сожалению, на этом закончился слайд.. Сколькими регалиями ещё, кто знает Кафидов Валерий В. обладает.","['Ахахаах', '']"
2016-10-25 01:49:16,150,https://vk.com/wall-130344439_150,,['К посту комментариев нет']
2016-10-25 22:47:58,154,https://vk.com/wall-130344439_154,А между тем умерло всего 20 человек.... Убивайте друг-друга активнее!,['Предавайте друг друга активнее']
2016-10-26 12:49:42,156,https://vk.com/wall-130344439_156,Пездос,['Тут отправили фото']
2016-10-29 22:56:31,177,https://vk.com/wall-130344439_177,А почему Вы выбрали эконом?,"['Я надеюсь, что эконометрика мне понравится. Так, налей мне виски.', 'бывает', '111 views', 'Это успех']"
2016-10-31 18:59:12,182,https://vk.com/wall-130344439_182,"Киллер продлевается до тех пор, пока не умрет больше половины!","['неинтересно, давайте до победного']"
2016-10-31 23:54:25,183,https://vk.com/wall-130344439_183,Пост состоит из фото,"['спасибо успешному человеку', 'Может ещё побываем']"
2016-11-01 17:11:17,187,https://vk.com/wall-130344439_187,"Хочешь написать хороший нир, но не можешь накачать статей, потому что доступ к базам данных есть только из библиотеки, а там такой медленный интернет что просто капец? Качай статьи прямо из дома! Просто скопируй ссылку на статью в sci-hub! P.S. На самом деле мы в шоке, что многие не знают об этой штуке","['А вообще в академии рекомендуют пользоваться купленной подпиской. Академия миллионы тратит на подписки и ведет статистику.', 'Миллионы на подписку в которой почти ничего стоящего нет или на стоящее подписка не распространяется', 'id3577476Никита, бесплатные две недели', 'id6045249Филипп, это была другая подписка', 'id3577476Никита, Просто подписка есть, а на самом деле ее нет деньги платят, но ничего не работает']"
