document_id,chunk_id,title,chunk_text,source,comment
5,0,Post 5 (2016-10-09 22:08:21),"Сегодня последний день регистрации на киллера. Внизу конечные правила, все внимательно прочитайте, так как не очень хочется отвечать всем на одни и те же вопросы. Также внизу ссылка на форму, которую вы будете заполнять при убийстве. Завтра будут запакованы конверты! В течение вторника и среды каждый игрок получит свою цель. Начиная с четверга можно будет убивать",https://vk.com/wall-130344439_5,пост
5,1,Post 5 (2016-10-09 22:08:21),. Начиная с четверга можно будет убивать. Ссылка на регистрацию Ссылка на отчет об убийстве,https://vk.com/wall-130344439_5,пост
7,0,Post 7 (2016-10-10 01:13:47),"Доброй ночи, эконом! Все мы знаем как сильна математическая статистика. И вот настал час продемонстрировать вам её силу! С высокой вероятностью кто-то спалился.",https://vk.com/wall-130344439_7,пост
7,0,Post 7 (2016-10-10 01:13:47),"Тут отправили фото, Тут отправили фото, мне кажется, он нажрался и рандомил, кого отчислить, а ничо, что там есть и женщина старше 45? а мужчин даже не 1, а скорее 4. Так что существует вероятность, что 1 из 4 Шилин, но также может быть, что у кого-то стоит год рождения в стиле 1900, Он просто с разных аккаунтов заходит D, id145608859Никита, умеешь ты все испортить, у меня 1900",https://vk.com/wall-130344439_7,комментарий
16,0,Post 16 (2016-10-10 01:25:31),Заливайте НОРМ мемы про ЕКАНАМ или учебу в альбом ГАВНО МЕМЫ БУДУТ УДАЛЯТЬСЯ,https://vk.com/wall-130344439_16,пост
26,0,Post 26 (2016-10-12 23:21:23),"И так, все карты розданы и судьбы предрешены. Больше никому нельзя доверять, лучшие друзья могут оказаться врагами, а опасность будет поджидать вас за каждым углом",https://vk.com/wall-130344439_26,пост
26,1,Post 26 (2016-10-12 23:21:23),". МЫ НАЧИНАЕМ ИГРУ! Теперь когда нервы на пределе, азарт бурлит в вашей крови, а хитроумные планы занимают все ваши мысли, интуиция станет величайшим оружием, а мнительность возможно спасет вам жизнь! Удачной охоты! И не забывайте, каждый охотник, в любой момент может стать жертвой",https://vk.com/wall-130344439_26,пост
26,0,Post 26 (2016-10-12 23:21:23),", Как я понимаю в лидерах пока Артем Ревтов и Дмитрий Савченко ?, Наверн эта шутка ща в топе, я тож так говорю, id18236049Igor, а что делать если кому-то в конверте попался Артем?, а что с Артёмом?, id32346529Агафья, небольшие неприятности у него, Тут отправили фото",https://vk.com/wall-130344439_26,комментарий
64,0,Post 64 (2016-10-14 19:41:36),"Ребята, которые играют в киллера! Вбивайте своих убитых вместе с паролями в форму! Без этого их смерть не будет вам засчитана! P.S. По моим данным уже скончалось около 5 человек.",https://vk.com/wall-130344439_64,пост
75,0,Post 75 (2016-10-15 15:04:25),"В Киллер играли n человек. После окончания игры, когда были убиты все, кто может быть убит, встретились два игрока возможно убитых и оказалось, что один убил 5 человек, а другой 7 человек. Оцените n подходящим методом.",https://vk.com/wall-130344439_75,пост
75,0,Post 75 (2016-10-15 15:04:25),киллер приходит к жертве и заставляет решать задачку,https://vk.com/wall-130344439_75,комментарий
78,0,Post 78 (2016-10-18 16:26:36),"346., ПОЧЕМУ ГОДА ТАКИЕ ДЛИННЫЕ?, id6045249Филипп, или почему посвятов так мало?!, id18236049Игорь, организуй плиз еще один, можно организовать посвящение в студенты после первой сессии гыгык, id18236049Igor, а ты че, посвят крафтил??, id8176408Сергей, в 2014 и 2015. В этом был почётным советником",https://vk.com/wall-130344439_78,комментарий
85,0,Post 85 (2016-10-20 17:19:08),"Тут отправили фото, Тут отправили фото, А фоток поживее нет?, id18236049Игорь,, id6045249Филипп, я тут понял что эт самое экстремальное моё занятие за последнее время, id6045249Филипп, почему девочка на заднем фоне просит пожалуйста, я не готова? Что у вас там происходит??, id4434770Таисия, всё легально",https://vk.com/wall-130344439_85,комментарий
